apstar_id,apogee_id,ra,dec,teff,logg,fparam_logvmicro,fparam_m_h,fparam_alpha_m,mn_fe,mn_fe_err
apogee.apo25m.s.stars.4230.2M21315109+1122285,2M21315109+1122285,322.962899,11.374591,5055.766,3.3905,-0.050238,-0.27,0.077811,-0.1104762,0.03415552
apogee.apo25m.s.stars.4230.2M21315593+1139439,2M21315593+1139439,322.983053,11.662197,4661.488,2.645186,0.15732,0.094953,0.051445,0.01888433,0.02022535
apogee.apo25m.s.stars.4230.2M21315735+1156548,2M21315735+1156548,322.988997,11.948574,4991.558,2.849311,0.19254,-0.87232,0.3686,-0.2389576,0.05080858
apogee.apo25m.s.stars.4230.2M21320297+1144166,2M21320297+1144166,323.012406,11.737955,4677.793,2.71847,0.12162,0.033975,0.039091,-0.01736428,0.02104211
apogee.apo25m.s.stars.4230.2M21320540+1214116,2M21320540+1214116,323.022531,12.236576,5032.012,2.18243,0.12227,-0.62693,0.37035,-0.0409528,0.03456375
apogee.apo25m.s.stars.4230.2M21320875+1218263,2M21320875+1218263,323.036492,12.307329,4918.193,2.761881,-0.27118,-0.29137,-0.007479,-0.08583039,0.04163722
apogee.apo25m.s.stars.4230.2M21321199+1230212,2M21321199+1230212,323.049988,12.505905,4510.632,2.519779,0.0979,0.23985,0.058814,0.1585047,0.01774187
apogee.apo25m.s.stars.4230.2M21321430+1150512,2M21321430+1150512,323.059614,11.847562,4560.94,2.566352,0.14968,0.034836,0.14518,-0.1014198,0.02644849
apogee.apo25m.s.stars.4230.2M21321985+1200376,2M21321985+1200376,323.082733,12.010449,4408.77,2.159555,0.17144,-0.14696,0.21488,-0.05602305,0.02131309
apogee.apo25m.s.stars.4230.2M21322044+1123193,2M21322044+1123193,323.085171,11.388713,4824.042,2.964496,-0.063331,-0.40016,0.19114,-0.1764427,0.04091958
apogee.apo25m.s.stars.4230.2M21322188+1242149,2M21322188+1242149,323.091204,12.704161,4629.964,2.583423,0.11235,-0.17898,0.21586,-0.1119933,0.03095289
apogee.apo25m.s.stars.4230.2M21322584+1244382,2M21322584+1244382,323.107667,12.743963,4742.272,3.086215,0.084007,0.26382,0.099996,-0.06276143,0.02096859
apogee.apo25m.s.stars.4230.2M21322987+1141508,2M21322987+1141508,323.124475,11.697465,4904.033,3.357398,0.045704,-0.13624,0.12065,-0.1066927,0.03914005
apogee.apo25m.s.stars.4230.2M21323436+1223152,2M21323436+1223152,323.143192,12.387556,4752.106,2.923725,0.10215,0.048273,0.063127,-0.04918067,0.02139237
apogee.apo25m.s.stars.4230.2M21323631+1137012,2M21323631+1137012,323.15133,11.617,4776.016,2.36327,0.10067,-0.91875,0.13795,-1.125511,0.07600329
apogee.apo25m.s.stars.4230.2M21323962+1226588,2M21323962+1226588,323.165111,12.44969,4652.958,2.630299,0.11786,-0.11487,0.081566,-0.1141626,0.0226894
apogee.apo25m.s.stars.4230.2M21324071+1224030,2M21324071+1224030,323.169642,12.400843,5041.35,2.838584,0.15401,-0.5095,0.2852,-0.005184561,0.04047679
apogee.apo25m.s.stars.4230.2M21324173+1212196,2M21324173+1212196,323.173911,12.20546,4706.421,2.644135,0.11248,-0.11594,0.047485,-0.02677894,0.02310728
apogee.apo25m.s.stars.4230.2M21324595+1149253,2M21324595+1149253,323.191485,11.8237,4806.389,2.340471,0.20134,-0.28606,0.090003,-0.06371504,0.02627959
apogee.apo25m.s.stars.4230.2M21324714+1244369,2M21324714+1244369,323.196453,12.743584,4810.52,2.460981,0.20067,0.088073,0.0493,0.08971803,0.02412695
apogee.apo25m.s.stars.4230.2M21325286+1227129,2M21325286+1227129,323.220253,12.453586,4763.752,2.293819,0.17698,-0.43096,0.25169,-0.1649207,0.02811469
apogee.apo25m.s.stars.4230.2M21325748+1222429,2M21325748+1222429,323.239504,12.378597,4367.114,1.988744,0.17443,0.11042,0.018826,0.008510292,0.01819395
apogee.apo25m.s.stars.4230.2M21325873+1132460,2M21325873+1132460,323.244724,11.546122,4803.254,2.483915,0.17143,0.13825,0.012014,0.02444342,0.020686
apogee.apo25m.s.stars.4230.2M21330132+1144511,2M21330132+1144511,323.2555,11.747554,4768.316,2.592739,0.18601,-0.61939,0.16721,-0.126702,0.04077268
apogee.apo25m.s.stars.4230.2M21330652+1229014,2M21330652+1229014,323.277191,12.483726,4970.306,3.342007,0.081601,-0.26895,0.15031,-0.1194766,0.04225072
apogee.apo25m.s.stars.4230.2M21330657+1153585,2M21330657+1153585,323.277408,11.89959,5012.755,3.418374,-0.024037,-0.25075,0.18704,-0.1389263,0.02757893
apogee.apo25m.s.stars.4230.2M21331037+1228194,2M21331037+1228194,323.293247,12.472057,4647.898,2.540262,0.1283,-0.21537,0.25914,-0.1308174,0.03261788
apogee.apo25m.s.stars.4230.2M21331154+1206251,2M21331154+1206251,323.298121,12.106986,4917.083,2.408272,0.24693,-0.47701,0.1672,-0.06572407,0.04824797
apogee.apo25m.s.stars.4230.2M21331263+1222599,2M21331263+1222599,323.302666,12.38332,4885.985,3.049351,0.044717,-0.11198,0.085146,-0.09052268,0.03390171
